ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603489.SH,20191111,52.13,62.55,52.13,62.55,43.44,19.11,43.9917,25640.18,160259.204
603489.SH,20191112,63.0,68.81,62.01,68.81,62.55,6.26,10.008,48051.74,315248.718
603489.SH,20191113,75.69,75.69,70.3,72.11,68.81,3.3,4.7958,182703.21,1341600.943
603489.SH,20191114,75.0,79.32,74.0,79.32,72.11,7.21,9.9986,133672.6,1018437.637
603489.SH,20191115,81.5,87.25,76.0,83.09,79.32,3.77,4.7529,143924.76,1193691.892
603489.SH,20191118,86.72,91.4,82.8,91.4,83.09,8.31,10.0012,124294.72,1085011.796
603489.SH,20191119,93.92,100.54,92.5,100.54,91.4,9.14,10.0,94055.49,911438.028
603489.SH,20191120,102.0,104.95,90.49,92.13,100.54,-8.41,-8.3648,118439.99,1126384.759
603489.SH,20191121,97.0,100.0,95.5,97.99,92.13,5.86,6.3606,111778.48,1090376.143
603489.SH,20191122,96.68,99.99,92.05,97.58,97.99,-0.41,-0.4184,91259.92,879718.861
603489.SH,20191125,99.6,99.96,92.58,93.27,97.58,-4.31,-4.4169,80804.19,779367.365
603489.SH,20191126,91.0,93.27,86.68,91.5,93.27,-1.77,-1.8977,79184.74,711211.656
603489.SH,20191127,90.46,91.22,88.01,88.97,91.5,-2.53,-2.765,53451.0,478064.014
603489.SH,20191128,89.0,89.6,84.5,86.15,88.97,-2.82,-3.1696,66002.52,569803.668
603489.SH,20191129,86.57,86.77,81.34,82.5,86.15,-3.65,-4.2368,62484.64,523192.965
603489.SH,20191202,82.9,87.49,82.23,87.04,82.5,4.54,5.503,70776.96,602585.9
603489.SH,20191203,86.0,88.04,84.0,86.93,87.04,-0.11,-0.1264,52827.57,455981.198
603489.SH,20191204,87.5,95.0,87.5,91.31,86.93,4.38,5.0385,65594.05,600874.501
603489.SH,20191205,90.98,94.88,90.1,93.11,91.31,1.8,1.9713,50247.66,464963.601
603489.SH,20191206,93.11,95.88,90.91,92.74,93.11,-0.37,-0.3974,44214.28,411361.798
603489.SH,20191209,92.0,97.27,90.5,95.12,92.74,2.38,2.5663,48647.55,458615.947
603489.SH,20191210,94.05,97.06,93.86,94.85,95.12,-0.27,-0.2839,34541.57,329428.052
603489.SH,20191211,94.0,94.88,92.22,92.59,94.85,-2.26,-2.3827,30649.07,285892.805
603489.SH,20191212,92.52,92.52,87.18,87.77,92.59,-4.82,-5.2057,37125.83,331818.988
603489.SH,20191213,88.88,94.88,88.88,93.39,87.77,5.62,6.4031,33949.28,313850.926
603489.SH,20191216,93.38,94.51,91.28,94.51,93.39,1.12,1.1993,27487.39,256239.954
603489.SH,20191217,93.89,100.98,93.87,97.63,94.51,3.12,3.3012,36334.63,355839.811
603489.SH,20191218,97.19,98.87,95.71,98.73,97.63,1.1,1.1267,21584.75,209669.189
603489.SH,20191219,100.25,102.0,96.33,100.39,98.73,1.66,1.6814,22754.24,224836.649
603489.SH,20191220,99.8,110.43,98.1,108.08,100.39,7.69,7.6601,36633.93,383097.316
603489.SH,20191223,105.0,115.6,105.0,109.52,108.08,1.44,1.3323,36323.1,403047.888
603489.SH,20191224,110.45,112.7,106.1,109.14,109.52,-0.38,-0.347,21260.79,232954.129
603489.SH,20191225,108.0,110.4,102.9,105.1,109.14,-4.04,-3.7017,27285.83,286422.817
603489.SH,20191226,105.2,110.62,104.25,106.7,105.1,1.6,1.5224,27393.48,294268.692
